event_id,member_id,group_id
ctjgqnywnbgb,232301883,25493984
ctjgqnywnbgb,233083796,25493984
ctjgqnywmbkc,190026711,25493984
ctjgqnywmbkc,233083796,25493984
ctjgqnywmbbc,232301883,25493984
ctjgqnywmbbc,233083796,25493984
ctjgqnywmbbc,224687825,25493984
ctjgqnywmbrb,233083796,25493984
ctjgqnywmbjb,232301883,25493984
ctjgqnywmbjb,230524749,25493984
ctjgqnywmbjb,233083796,25493984
ctjgqnywmbjb,224687825,25493984
ctjgqnywlbnc,233083796,25493984
ctjgqnywlbfc,232301883,25493984
ctjgqnywlbfc,233083796,25493984
ctjgqnywlbvb,232301883,25493984
ctjgqnywlbvb,233083796,25493984
243861892,82028462,25694632
243861892,227262615,25694632
243861892,95204562,25694632
243861827,238274522,25694632
243861827,227262615,25694632
243861827,95204562,25694632
243185984,82028462,25694632
243185984,218877394,25694632
243185984,236828716,25694632
243185984,236126587,25694632
243185984,235621288,25694632
243185984,227262615,25694632
243185984,234032624,25694632
243021557,82028462,25694632
243021557,218877394,25694632
243021557,227262615,25694632
243021557,95204562,25694632
241968403,214983548,23984060
241968403,231627231,23984060
241968403,218596591,23984060
241968403,222611896,23984060
241968403,227672599,23984060
241968403,232046310,23984060
241063498,232011064,23984060
241063498,214983548,23984060
241063498,231627231,23984060
241063498,218596591,23984060
241063498,232046310,23984060
240240233,214983548,23984060
240240233,218596591,23984060
240240233,227672599,23984060
236909728,215194572,20793609
235996797,200790668,20793609
235996797,215194572,20793609
235252965,215194572,20793609
235027271,215194572,20793609
243589459,178742432,24125934
243589459,236392490,24125934
243589459,215421190,24125934
243589459,235474428,24125934
243589459,105492502,24125934
243589459,238400895,24125934
243589459,204412550,24125934
242951707,178742432,24125934
242951707,236392490,24125934
242951707,215421190,24125934
242951707,235474428,24125934
242951707,105492502,24125934
242951707,204412550,24125934
242951707,218668783,24125934
242533884,77690372,24125934
242533884,215421190,24125934
242533884,105492502,24125934
242533884,204412550,24125934
242190292,178742432,24125934
242190292,215421190,24125934
242190292,105492502,24125934
241373487,178742432,24125934
241373487,77690372,24125934
241373487,210638960,24125934
241373487,215421190,24125934
240634805,178742432,24125934
240634805,77690372,24125934
240634805,210638960,24125934
240634805,215421190,24125934
240391192,178742432,24125934
240391192,77690372,24125934
240391192,47572122,24125934
240391192,194219253,24125934
240391192,210638960,24125934
240391192,215421190,24125934
